Company Website,Strona internetowa firmy,
Comparison,Porównanie,
Compiler Message,Komunikat kompilatora,
Complete,Ukończ,
completed,ukończono,
Completed,Ukończone,
Complete your profile,Uzupełnij swój profil,
Completion certificate,Certyfikat ukończenia,
Completion Rate,Wskaźnik ukończenia,
Condition,Warunek,
Conferencing,Wideokonferencje,
Conferencing Provider,Dostawca wideokonferencji,
Configuration,Konfiguracja,
Configure an external Frappe/ERPNext system where lab environments will be provisioned.,Skonfiguruj zewnętrzny system Frappe/ERPNext do obsługi środowisk laboratoryjnych.,
Configure the credentials and options for this payment gateway.,Skonfiguruj dane uwierzytelniające i opcje tej bramki płatniczej.,
Configure your Brand Name Logo and Favicon,Skonfiguruj nazwę marki logo i favicon,
Confirm,Potwierdź,
Confirm Cancellation?,Potwierdzić anulowanie?,
Confirm clearing demo data?,Potwierdzić wyczyszczenie danych demonstracyjnych?,
Confirm Enrollment,Potwierdź zapisanie,
Confirm Your Action,Potwierdź działanie,
Confirm your action to delete,Potwierdź usunięcie,
Connect a Google Meet account to schedule and host live classes.,Połącz konto Google Meet aby planować i prowadzić zajęcia na żywo.,
Connect a Zoom account to schedule and host live classes.,Połącz konto Zoom aby planować i prowadzić zajęcia na żywo.,
Connection,Połączenie,
Connection failed,Połączenie nie powiodło się,
Connection successful,Połączenie udane,
Contact the Administrator to enroll for this course,Skontaktuj się z administratorem aby zapisać się na kurs,
Contact the Administrator to enroll for this course.,Skontaktuj się z administratorem aby zapisać się na kurs.,
Contact Us,Skontaktuj się z nami,
Content,Treść,
Continue Learning,Kontynuuj naukę,
Contract,Umowa,
Correct,Poprawna,
Correct Answer,Poprawna odpowiedź,
Could not update publish status,Nie można zaktualizować statusu publikacji,
Country,Kraj,
Coupon Code,Kod kuponu,
Coupon created successfully,Kupon utworzony pomyślnie,
Coupon deleted successfully,Kupon usunięty pomyślnie,
Coupon Details,Szczegóły kuponu,
Coupon(s) deleted successfully,Kupony usunięte pomyślnie,
course,kurs,
Course,Kurs,
Course added to batch successfully,Kurs dodany do grupy pomyślnie,
Course added to program successfully,Kurs dodany do programu pomyślnie,
Course already added to program,Kurs już dodany do programu,
Course Completions,Ukończenia kursu,
Course content,Zawartość kursu,
Course Content coming soon!,Zawartość kursu wkrótce!,
Course created successfully,Kurs utworzony pomyślnie,
Course creator,Twórca kursu,
Course Creator,Twórca kursu,
Course deleted successfully,Kurs usunięty pomyślnie,
Course description,Opis kursu,
Course Description,Opis kursu,
Course details,Szczegóły kursu,
Course editor,Edytor kursu,
Course Enrollment,Zapisanie na kurs,
Course Enrollments,Zapisy na kurs,
Course overview,Przegląd kursu,
Course price,Cena kursu,
Course Progress,Postęp kursu,
Course published,Kurs opublikowany,
course rating,ocena kursu,
courses,kursy,
Courses,Kursy,
Courses Created,Utworzone kursy,
Courses deleted successfully,Kursy usunięte pomyślnie,
Courses in this Program,Kursy w tym programie,
Course thumbnail,Miniatura kursu,
Course unpublished,Publikacja kursu cofnięta,
Course updated successfully,Kurs zaktualizowany pomyślnie,
Create,Utwórz,
Create a batch,Utwórz grupę,
Create a course,Utwórz kurs,
Create a Lab,Utwórz laboratorium,
Create a live class,Utwórz zajęcia na żywo,
Create a Live Class,Utwórz zajęcia na żywo,
Create an Assignment,Utwórz zadanie,
Create and manage reusable email templates for your notifications.,Twórz wielokrotnego użytku szablony e-mail dla powiadomień.,
Create a new Badge,Utwórz nową odznakę,
Create a Quiz,Utwórz quiz,
Create chapter,Utwórz rozdział,
Create Course,Utwórz kurs,
Created,Utworzono,
Create New,Utwórz nowy,
Create new Lab,Utwórz nowe laboratorium,
Create Program,Utwórz program,
Create Programming Exercise,Utwórz ćwiczenie programistyczne,
Create your first batch,Utwórz swoją pierwszą grupę,
Create your first course,Utwórz swój pierwszy kurs,
Create your first quiz,Utwórz swój pierwszy quiz,
Creating a batch,Tworzenie grupy,
Creating a course,Tworzenie kursu,
Criterion Name,Nazwa kryterium,
Criterion name and DocType are required,Nazwa kryterium i DocType są wymagane,
Currency,Waluta,
Current Streak,Obecna passa,
Curriculum,Program nauczania,
Custom Certificate Templates,Własne szablony certyfikatów,
Dashboard,Panel główny,
Data Import,Import danych,
Date,Data,
Day,Dzień,
day ago,dzień temu,
days,dni,
days ago,dni temu,
day streak,dni z rzędu,
Deduct marks for incorrect answers.,Odejmuj punkty za błędne odpowiedzi.,
Define a badge and the criteria for awarding it to learners.,Zdefiniuj odznakę i kryteria jej przyznawania uczącym się.,
Delete,Usuń,
Delete {0}?,Usunąć {0}?,
Delete Chapter,Usuń rozdział,
Delete Course,Usuń kurs,
Delete Program,Usuń program,
Delete this chapter?,Usunąć ten rozdział?,
Delete this coupon?,Usunąć ten kupon?,
Delete this lesson?,Usunąć tę lekcję?,
Delete user,Usuń użytkownika,
Demo data cleared successfully,Dane demonstracyjne wyczyszczone pomyślnie,
"Describe what the student should do.\nUse +[Copy label](value) to add inline copyable values.","Opisz co student powinien zrobić.\nUżyj +[Etykieta](wartość) aby dodać kopiowalne wartości.",
Description,Opis,
Desk,Pulpit,
Details,Szczegóły,
Details cannot be empty.,Szczegóły nie mogą być puste.,
Device,Urządzenie,
Disabled,Wyłączone,
Discard,Odrzuć,
Discount,Zniżka,
Discount Amount,Kwota zniżki,
Discount Percentage,Procent zniżki,
Discount Type,Typ zniżki,
Discussions,Dyskusje,
Display correct answers after each question is attempted.,Wyświetlaj poprawne odpowiedzi po każdym pytaniu.,
Displayed on the course page. Supports Markdown formatting.,Wyświetlane na stronie kursu. Obsługuje formatowanie Markdown.,
DocType to Check,DocType do sprawdzenia,
Document Name,Nazwa dokumentu,
Document Type,Typ dokumentu,
Drag and drop a ZIP file or upload from your,Przeciągnij i upuść plik ZIP lub prześlij z,
Duration (in minutes),Czas trwania (w minutach),
Each user can only receive this badge one time.,Każdy użytkownik może otrzymać tę odznakę tylko raz.,
Edit,Edytuj,
Edit Assignment,Edytuj zadanie,
Edit Badge,Edytuj odznakę,
Edit Badge Assignment,Edytuj przypisanie odznaki,
Edit Chapter,Edytuj rozdział,
Edit Coupon,Edytuj kupon,
Edit Criterion,Edytuj kryterium,
Edit Email Template,Edytuj szablon e-mail,
Edit Google Meet Account,Edytuj konto Google Meet,
Edit Lab,Edytuj laboratorium,
Edit Lab Connection,Edytuj połączenie z laboratorium,
Edit lesson,Edytuj lekcję,
Edit member,Edytuj uczestnika,
Edit Member,Edytuj uczestnika,
Edit Payment Gateway,Edytuj bramkę płatniczą,
Edit Profile,Edytuj profil,
Edit Program,Edytuj program,
Edit Programming Exercise,Edytuj ćwiczenie programistyczne,
Edit Question,Edytuj pytanie,
Edit Step,Edytuj krok,
Edit Zoom Account,Edytuj konto Zoom,
e.g. Course Champion,np. Mistrz kursu,
e.g. https://www.youtube.com/video,np. https://www.youtube.com/video,
e.g. Sales Invoice,np. Faktura sprzedaży,
e.g. Sales User Accounts User,np. Użytkownik sprzedaży Użytkownik kont,
e.g. WELCOME10,np. WITAMY10,
Email,E-mail,
Email ID,Adres e-mail,
Email is required,E-mail jest wymagany,
Email sent successfully,E-mail wysłany pomyślnie,
Email Template created successfully,Szablon e-mail utworzony pomyślnie,
Email Templates deleted successfully,Szablony e-mail usunięte pomyślnie,
Email Template updated successfully,Szablon e-mail zaktualizowany pomyślnie,
Embed (preview video),Osadź (podgląd wideo),
Enabled,Włączone,
Enable evaluations for batch participants.,Włącz oceny dla uczestników grupy.,
Enable Negative Marking,Włącz punkty ujemne,
Enable this connection for lab provisioning.,Włącz to połączenie do obsługi laboratoriów.,
End Date,Data zakończenia,
Ended,Zakończone,
End Time,Czas zakończenia,
Enforce Course Order,Wymuś kolejność kursu,
Enroll,Zapisz się,
Enroll a Student,Zapisz studenta,
enrolled,zapisany,
Enrolled,Zapisani,
Enrolled On,Zapisano,
Enrolled Students,Zapisani studenci,
Enroll for Free,Zapisz się bezpłatnie,
Enroll Member to Program,Zapisz uczestnika do programu,
Enrollment & Certification,Zapisy i certyfikacja,
Enrollment Confirmation Email Template,Szablon e-mail potwierdzenia zapisu,
Enrollment for Program {0},Zapis do programu {0},
Enrollments,Zapisy,
Enroll Now,Zapisz się teraz,
Enter a Coupon Code,Wprowadź kod kuponu,
Enter a URL,Wprowadź URL,
Enter Brand Name,Wprowadź nazwę marki,
Enter email subject,Wprowadź temat e-mail,
Enter reply to email,Wprowadź adres odpowiedzi,
Error creating badge,Błąd tworzenia odznaki,
Error creating batch,Błąd tworzenia grupy,
Error creating email template,Błąd tworzenia szablonu e-mail,
Error creating Google Meet Account,Błąd tworzenia konta Google Meet,
Error creating lab,Błąd tworzenia laboratorium,
Error creating lab connection,Błąd tworzenia połączenia z laboratorium,
Error creating Zoom Account,Błąd tworzenia konta Zoom,
Error deleting badge,Błąd usuwania odznaki,
Error deleting email templates,Błąd usuwania szablonów e-mail,
Error deleting Google Meet Account,Błąd usuwania konta Google Meet,
Error deleting payment gateways,Błąd usuwania bramek płatniczych,
Error saving lab,Błąd zapisywania laboratorium,
Error updating email template,Błąd aktualizacji szablonu e-mail,
Error updating Google Meet Account,Błąd aktualizacji konta Google Meet,
Error updating lab connection,Błąd aktualizacji połączenia z laboratorium,
Error updating Zoom Account,Błąd aktualizacji konta Zoom,
Error uploading file,Błąd przesyłania pliku,
Error Uploading File,Błąd przesyłania pliku,
evaluation,ocena,
Evaluation,Ocena,
Evaluation cancelled successfully,Ocena anulowana pomyślnie,
Evaluation Criteria,Kryteria oceny,
Evaluation End Date,Data zakończenia oceny,
Evaluation failed,Ocena nie powiodła się,
evaluations,oceny,
Evaluation saved successfully,Ocena zapisana pomyślnie,
Evaluator,Oceniający,
Event,Wydarzenie,
Exercise,Ćwiczenie,
Exercise deleted successfully,Ćwiczenie usunięte pomyślnie,
Expand,Rozwiń,
Expected Output,Oczekiwany wynik,
Expected Value,Oczekiwana wartość,
Expires On,Wygasa,
Expiry Date,Data wygaśnięcia,
Explanation,Wyjaśnienie,
Export,Eksportuj,
Export failed,Eksport nie powiódł się,
Fail,Niezaliczony,
Failed,Nie powiodło się,
Failed to create badge assignment: ,Nie udało się utworzyć przypisania odznaki: ,
Failed to enroll in program: {0},Nie udało się zapisać do programu: {0},
Failed to refresh session,Nie udało się odświeżyć sesji,
Failed to send email,Nie udało się wysłać e-maila,
Failed to submit. Please try again. {0},Nie udało się przesłać. Spróbuj ponownie. {0},
Failed to update badge assignment: ,Nie udało się zaktualizować przypisania odznaki: ,
Failed to update meta tags {0},Nie udało się zaktualizować meta tagów {0},
Favicon,Favicon,
Featured,Wyróżnione,
Feedback,Opinia,
Feel free to make edits to your submission if needed.,W razie potrzeby możesz edytować swoje zgłoszenie.,
Field to Check,Pole do sprawdzenia,
File upload failed. Please try again.,Przesyłanie pliku nie powiodło się. Spróbuj ponownie.,
Fill in URL API Key and API Secret first,Najpierw wypełnij URL klucz API i sekret API,
Filter assignments by course,Filtruj zadania według kursu,
Filter by Billing Name,Filtruj według nazwy rozliczeniowej,
Filter by Exercise,Filtruj według ćwiczenia,
Filter by Member,Filtruj według uczestnika,
Filter by Status,Filtruj według statusu,
Filters (JSON array),Filtry (tablica JSON),
First Name,Imię,
Free,Bezpłatny,
Freelance,Freelancer,
Freelancer / Consultant,Freelancer / konsultant,
From,Od,
Full Name,Pełne imię i nazwisko,
Full Time,Pełny etat,
Gateway,Bramka,
Generate Certificates,Generuj certyfikaty,
Generated company name,Wygenerowana nazwa firmy,
Generated company name for this student,Wygenerowana nazwa firmy dla tego studenta,
Get Certificate,Pobierz certyfikat,
Get Certified,Uzyskaj certyfikat,
GitHub ID,ID GitHub,
Go back,Wróć,
Google Calendar,Kalendarz Google,
Google Meet,Google Meet,
Google Meet Account,Konto Google Meet,
Google Meet Account created successfully,Konto Google Meet utworzone pomyślnie,
Google Meet Account deleted successfully,Konto Google Meet usunięte pomyślnie,
Google Meet Account updated successfully,Konto Google Meet zaktualizowane pomyślnie,
Grade,Ocena,
Grading,Ocenianie,
Grant Only Once,Przyznaj tylko raz,
GST Amount,Kwota VAT,
GSTIN,GSTIN,
GST Number,Numer VAT,
# Heading\n\nWrite lab description in **Markdown**…,# Nagłówek\n\nOpis laboratorium w **Markdown**…,
Headline,Nagłówek,
Help us improve by providing your feedback.,Pomóż nam się poprawić — podziel się opinią.,
Help us understand your needs,Pomóż nam zrozumieć Twoje potrzeby,
Hey,Cześć,
Highlight,Wyróżnij,
Highlight on the homepage.,Wyróżnij na stronie głównej.,
Highlight what makes you unique and show your skills.,Podkreśl co wyróżnia Cię i pokaż swoje umiejętności.,
Hiring,Rekrutacja,
Home,Strona główna,
HR / L&D Professional,Specjalista HR / L&D,
Hybrid,Hybrydowy,
I am unavailable,Jestem niedostępny,
Icon,Ikona,
ID,ID,
Image search powered by,Wyszukiwanie obrazów obsługiwane przez,
Import,Importuj,
Import Batch,Importuj grupę,
Import Course from ZIP,Importuj kurs z ZIP,
Import via Data Import Tool,Importuj przez narzędzie importu danych,
Import via ZIP,Importuj przez ZIP,
Inactive,Nieaktywny,
Include in Preview,Uwzględnij w podglądzie,
Incorrect,Niepoprawna,
In Progress,W toku,
Input,Dane wejściowe,
Install,Zainstaluj,
Install Frappe Learning,Zainstaluj Frappe Learning,
Instructor,Instruktor,
Instructor Notes,Notatki instruktora,
Instructors,Instruktorzy,
in the last,w ciągu ostatnich,
Introduction,Wprowadzenie,
Invite your team and students,Zaproś swój zespół i studentów,
Issue a Certificate,Wystaw certyfikat,
Issue a free certificate when learners complete the course.,Wystaw bezpłatny certyfikat gdy uczący się ukończy kurs.,
Issue certificates to batch participants.,Wystaw certyfikaty uczestnikom grupy.,
Issue Date,Data wystawienia,
Issued on,Wystawiono,
Issued On,Wystawiono,
Item Type,Typ elementu,
Job,Praca,
Job Details,Szczegóły oferty pracy,
Jobs,Oferty pracy,
Join,Dołącz,
Join Call,Dołącz do rozmowy,
Joined at,Dołączono,
Join Meeting,Dołącz do spotkania,
Jump to,Przejdź do,
Keep going,Dalej tak trzymaj,
Lab,Laboratorium,
Lab Connection,Połączenie laboratorium,
Lab connection created,Połączenie laboratorium utworzone,
Lab connection deleted,Połączenie laboratorium usunięte,
Lab connection updated,Połączenie laboratorium zaktualizowane,
Lab created,Laboratorium utworzone,
Lab Description,Opis laboratorium,
Lab not found — it may have been deleted.,Laboratorium nie znalezione — mogło zostać usunięte.,
Lab Passed,Laboratorium zaliczone,
Labs,Laboratoria,
Lab saved,Laboratorium zapisane,
Labs deleted,Laboratoria usunięte,
Language,Język,
Last Name,Nazwisko,
Learning Consistency,Konsekwencja w nauce,
Learning Paths,Ścieżki nauki,
Leave empty to check record existence only,Zostaw puste aby sprawdzić tylko istnienie rekordu,
Left at,Opuszczono o,
lesson,lekcja,
Lesson,Lekcja,
Lesson Completion,Ukończenie lekcji,
Lesson created,Lekcja utworzona,
Lesson created successfully,Lekcja utworzona pomyślnie,
Lesson deleted successfully,Lekcja usunięta pomyślnie,
Lesson Index,Indeks lekcji,
Lesson moved successfully,Lekcja przeniesiona pomyślnie,
Lesson Progress,Postęp lekcji,
lessons,lekcje,
Lessons,Lekcje,
Lesson updated,Lekcja zaktualizowana,
Lesson updated successfully,Lekcja zaktualizowana pomyślnie,
Let users enroll themselves.,Pozwól użytkownikom zapisywać się samodzielnie.,
Limit Questions To,Ogranicz pytania do,
"Link an interactive lab to this lesson. Students will be able to provision a test environment and perform hands-on tasks that are evaluated automatically.","Połącz interaktywne laboratorium z tą lekcją. Studenci będą mogli uruchomić środowisko testowe i wykonać praktyczne zadania oceniane automatycznie.",
LinkedIn,LinkedIn,
LinkedIn ID,ID LinkedIn,
Live,Na żywo,
live class,zajęcia na żywo,
Live Class,Zajęcia na żywo,
live classes,zajęcia na żywo,
Load More,Załaduj więcej,
Location,Lokalizacja,
Login,Zaloguj się,
Login to apply,Zaloguj się aby aplikować,
Login to Frappe Cloud?,Zalogować się do Frappe Cloud?,
Longest Streak,Najdłuższa passa,
Looking for new work or hiring talent?,Szukasz pracy lub zatrudniasz?,
Make an Announcement,Wyślij ogłoszenie,
Make notes for quick revision. Press / for menu.,Rób notatki do szybkiej powtórki. Naciśnij / dla menu.,
Make this certificate visible to the participant.,Ustaw certyfikat jako widoczny dla uczestnika.,
Manage batches review and grade submissions,Zarządzaj grupami sprawdzaj i oceniaj zgłoszenia,
Manage your courses and batches at a glance,Zarządzaj kursami i grupami w jednym miejscu,
Mark,Oznacz,
Mark all as read,Oznacz wszystkie jako przeczytane,
Markdown,Markdown,
Mark for review,Oznacz do przeglądu,
Marks,Punkty,
Marks out of,Punkty z,
Marks to Deduct,Punkty do odjęcia,
Mark this option as a correct answer.,Zaznacz tę opcję jako poprawną odpowiedź.,
match,dopasowanie,
matches,dopasowania,
Max Attempts,Maksymalna liczba podejść,
Maximum Attempts,Maksymalna liczba podejść,
Medium,Średni,
member,uczestnik,
Member,Uczestnik,
Member added successfully,Uczestnik dodany pomyślnie,
Member added to program successfully,Uczestnik dodany do programu pomyślnie,
